,Cost of Renovation,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,year_since_completion,months_since_last_renovation,months_before_tenancy_lease_expiry,Availability_Now,Availability_Occupied,Condition_Brand New,Condition_For Reno / A&A,Condition_Land Only / For Rebuilding,Condition_Used,Facing_East,Facing_North,Facing_North East,Facing_North South,Facing_North West,Facing_South,Facing_South East,Facing_South West,Facing_West,Floor_high,Floor_low,Floor_mid,Floor_top,Furnishing_Fully Furnished,Furnishing_Partially Furnished,Furnishing_Unfurnished,Landed House Area Zoning_2 Storey Bungalow,Landed House Area Zoning_2 Storey Mixed Landed,Landed House Area Zoning_2 Storey Semi D,Landed House Area Zoning_3 Storey Bungalow,Landed House Area Zoning_3 Storey Mixed Landed,Landed House Area Zoning_3 Storey Semi D,Landed House Area Zoning_GCBA,Landed House Area Zoning_Not Applicable,Landed House Area Zoning_Not in Landed Housing Area,Landed House Area Zoning_Others,Re-wiring/Structural Renovation_No,Re-wiring/Structural Renovation_Yes,District,type,link
8548,0.0,4.0,1.0,13.0,22.5,3.8,2.7,4.0,3.0,10.0,10.0,2.0,5.0,5.0,1.0,1.0,1.0,0.0,828000.0,1.0,2.0,1302.0,161.55774974071525,593.8194799371944,65.0,17.0,22.0,17.684038960906438,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D12,hdb,
8549,0.0,1.0,1.0,16.0,13.0,4.3,5.8,3.0,3.0,10.0,10.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,750000.0,4.0,2.0,1571.0,99.0,719.2028515475156,33.0,50.0,42.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D18,hdb,https://www.99.co/singapore/hdb/860-tampines-avenue-5-adtiSiVcS52CN8ttAc8tUAPh
8550,0.0,5.0,1.0,12.0,16.6,3.7,4.9,2.0,3.0,10.0,10.0,2.0,6.0,2.0,1.0,1.0,1.0,0.0,828000.0,3.0,3.0,1356.0,177.46132544535598,597.6880063778634,65.0,26.0,18.0,16.37597651270763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D3,hdb,
8551,0.0,3.0,1.0,19.0,15.0,4.6,3.7,2.0,2.0,10.0,10.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,235000.0,2.0,1.0,635.0,99.0,876.807804476676,53.0,34.0,28.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D13,hdb,https://www.99.co/singapore/hdb/48-circuit-road-aduWtsv2Wfn7qm9iTzrFU2NG
8552,0.0,4.0,1.0,11.0,13.0,6.0,7.0,5.0,5.0,10.0,10.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,19800000.0,1.0,0.0,15500.0,999.0,496.68287417120916,67.0,26.0,32.0,21.43549015022937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,D21,landed,https://www.99.co/singapore/landed/kilburn-estate-deBSZ4cHWpuUAVifQBBjTM63
8553,0.0,2.0,1.0,64.0,15.0,3.4,5.3,2.0,3.0,10.0,10.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,648000.0,2.0,2.0,1302.0,99.0,651.9620180107736,55.0,26.0,32.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D20,hdb,https://www.99.co/singapore/hdb/648-ang-mo-kio-avenue-5-adgMCZTrdDX5r9QWT4zoSys8
8554,0.0,11.0,0.0,64.0,172.0,18.0,22.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780000.0,0.0,0.0,3080.0,16855.66261598622,108.72205364013763,214.0,142.0,136.0,5.842154728017815,104.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D19,landed,
8555,0.0,20.0,1.0,64.0,172.0,6.5,7.25,2.0,3.0,10.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,930000.0,1.0,3.0,990.0,99.0,429.0,38.0,58.0,51.0,4.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D17,condo,https://www.99.co/singapore/condos-apartments/palm-isles
8556,0.0,13.0,1.0,64.0,14.0,4.3,6.0,2.0,3.0,10.0,10.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,890000.0,3.0,2.0,1292.0,99.0,632.0,74.0,42.0,47.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D23,condo,https://www.99.co/singapore/condos-apartments/yew-mei-green
8557,0.0,6.0,1.0,13.4,19.0,4.2,2.4,2.0,3.0,10.0,10.0,6.0,4.0,0.0,1.0,1.0,1.0,0.0,1450000.0,1.0,0.0,1033.0,99.0,210.0,55.0,19.0,7.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D2,condo,https://www.99.co/singapore/condos-apartments/international-plaza
8558,0.0,9.0,1.0,16.0,19.666666666666668,6.142857142857142,5.5,2.0,3.0,10.0,10.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,2020000.0,1.0,0.0,818.0,99999.0,27.0,68.0,21.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D10,condo,https://www.99.co/singapore/condos-apartments/38-jervois
8559,0.0,33.0,1.0,64.0,16.25,4.0,6.0,5038.0,4.0,10.0,10.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,4150000.0,1.0,0.0,3352.044573734298,99.0,1040.0,76.0,32.0,30.0,4.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D4,condo,https://www.99.co/singapore/condos-apartments/the-interlace
8560,0.0,21.0,1.0,7.0,11.0,2.5,4.0,5.0,5.0,10.0,10.0,7.0,6.0,0.0,0.0,1.0,1.0,0.0,2864000.0,4.0,0.0,2616.0,99.0,546.0,71.0,31.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D23,condo,https://www.99.co/singapore/condos-apartments/hillion-residences
8562,0.0,0.0,1.0,14.25,16.0,4.4,4.9,1183.0,2.0,10.0,10.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,475000.0,4.0,1.0,1160.219139141241,99.0,627.3803510298266,44.0,43.0,43.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D19,hdb,https://www.99.co/singapore/hdb/325c-sengkang-east-way-ad8uRB8brWrSUFL3FM622iwC
8563,0.0,16.0,1.0,13.0,14.0,4.1,4.777777777777779,2.0,2.0,10.0,10.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,820000.0,5.0,2.0,1012.0,99.0,437.0,52.0,48.0,56.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D25,condo,https://www.99.co/singapore/condos-apartments/rosewood
8564,0.0,3.0,1.0,9.0,16.0,3.7,3.4,2.0,3.0,10.0,10.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,325000.0,4.0,3.0,1097.0,99.0000067082167,498.33464840018814,63.0,43.0,48.0,34.60178058722238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D25,hdb,
8565,0.0,11.0,0.0,64.0,172.0,18.0,22.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800000.0,0.0,0.0,4762.0,99998.9190713876,14.001926372536401,214.0,142.0,136.0,25.99954675290754,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,D15,landed,
8566,0.0,1.0,1.0,15.5,13.666666666666664,4.1,3.7,2.0,2.0,10.0,10.0,3.0,4.0,4.0,1.0,1.0,1.0,0.0,720000.0,1.0,0.0,1087.0,99.0,506.83127453686,62.0,15.0,20.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D12,hdb,https://www.99.co/singapore/hdb/153-lorong-2-toa-payoh-adCVM6q6eEiy8fkVqbNo2B7P
8567,0.0,7.0,1.0,12.5,16.5,6.333333333333332,4.7,1302.0,3.0,10.0,10.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,2400000.0,1.0,0.0,1439.0240765364263,99999.0,75.0,51.0,15.0,14.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D9,condo,https://www.99.co/singapore/condos-apartments/1919
