,Availability,Condition,Cost of Renovation,District,Facing,Floor,Furnishing,Landed House Area Zoning,Last Renovated Date,Re-wiring/Structural Renovation,Tenancy Current Rent,Tenancy Lease Expiry,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,link,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,type,year_since_completion
5000,Now,,,D09,,,,,,,,,9,1,13.5,14.6,7.285714285714286,6.7,https://www.99.co/singapore/condos-apartments/the-peak-cairnhill-ii,2.0,2.0,10,10,3,6,1.0,0,1,1,,2322000.0,,,829.0,Freehold,62,58.0,14.0,20.0,condo,4
5001,,For Reno / A&A,,D11,,,,Others,,No,,,18,1,,23.0,,,https://www.99.co/singapore/landed/the-greenwood-desr6BSWmedjnmK6Dvrvn4LL,4.0,4.0,3,1,0,1,1.0,0,1,0,1.0,2600000.0,1.0,,1200.0,103 Years,54,75.0,35.0,41.0,landed,8
5002,01 Jan 2022,,,D14,North South,,,,,,,,17,0,,,,,https://www.99.co/singapore/condos-apartments/parc-esta,1.0,1.0,0,0,0,0,,0,0,0,,858000.0,,,517.0,99 Years,1399,37.0,28.0,20.0,condo,-3
5003,Now,,,D18,,,,,,,,,6,1,,14.5,3.9,3.25,https://www.99.co/singapore/hdb/530d-pasir-ris-drive-1-adCLCts5chz3KWjLhNQZuhrV,2.0,3.0,10,10,1,4,1.0,1,1,1,,597400.0,4.0,2.0,926.0,99 Years,,30.0,44.0,36.0,hdb,4
5004,Now,,,D10,,,,,,,,,8,1,16.0,14.5,4.5,4.9,https://www.99.co/singapore/condos-apartments/loft-nathan,1.0,1.0,10,10,1,4,1.0,1,1,1,,928000.0,2.0,,452.0,Freehold,121,65.0,19.0,26.0,condo,5
5005,Now,,,D19,North South,,,,,,,,4,1,7.0,9.0,6.666666666666667,5.75,https://www.99.co/singapore/hdb/335a-anchorvale-crescent-adSeAgYL9cAQSX6GXdtUcbfG,2.0,3.0,10,10,3,1,,1,1,1,,620000.0,3.0,,1238.0,99 Years,,50.0,40.0,39.0,hdb,
5006,Now,,,D19,South West,18,,,,,,,23,1,13.333333333333334,21.5,4.9,,https://www.99.co/singapore/condos-apartments/austville-residences,3.0,3.0,10,10,4,4,1.0,1,1,0,,1220000.0,4.0,3.0,1441.0,99 Years,540,49.0,43.0,43.0,condo,5
5007,Now,,,D15,,,,,,,,,3,1,18.0,19.666666666666668,4.3,6.9,https://www.99.co/singapore/condos-apartments/royale-mansions,2.0,3.0,10,10,1,4,2.0,0,1,0,,1300000.0,,,1173.0,Freehold,20,43.0,40.0,32.0,condo,27
5008,Now,,,D21,,,Partially Furnished,,,,,,12,0,,,,,https://www.99.co/singapore/condos-apartments/mayfair-gardens,1.0,1.0,0,0,0,0,,0,0,0,,965000.0,,,506.0,99 Years,215,67.0,26.0,32.0,condo,-5
5009,Now,,,D19,,,,,,,,,5,1,,,4.1,6.0,https://www.99.co/singapore/hdb/987c-buangkok-green-adb63ruruzJm8QpfTxLBwdU4,995.0,3.0,10,10,0,3,1.0,0,1,0,,475000.0,2.0,3.0,,99 Years,,49.0,44.0,44.0,hdb,6
5010,,,,D10,,,,,,Yes,,,12,1,14.0,14.0,7.25,7.0,https://www.99.co/singapore/landed/eleven-holland-deQYFRfRDa2fmDusfsrsHN7g,4.0,5.0,10,8,1,1,2.0,0,1,0,,3885000.0,,,1200.0,99 Years,82,80.0,33.0,45.0,landed,5
5011,Now,,,D12,North,,Partially Furnished,,,,,,17,1,13.5,16.5,5.7,6.25,https://www.99.co/singapore/condos-apartments/kallang-riverside,1.0,2.0,10,10,3,5,,1,1,1,,2450000.0,,,1033.0,Freehold,212,51.0,24.0,16.0,condo,0
5012,Now,,,D03,South,,,,,,,,23,1,,16.5,4.0,5.285714285714286,https://www.99.co/singapore/condos-apartments/queens-peak,2.0,3.0,10,10,1,5,,0,1,0,,1659000.0,2.0,2.0,850.0,99 Years,736,63.0,25.0,15.0,condo,-1
5013,Now,,,D19,,02,,,,,,,16,0,,,,,https://www.99.co/singapore/condos-apartments/the-florence-residences,2.0,3.0,0,0,0,0,,0,0,0,,1250000.0,,,893.0,99 Years,1410,54.0,40.0,40.0,condo,-4
5014,Now,,,D03,,05,,,,,,,13,0,,,,,https://www.99.co/singapore/condos-apartments/stirling-residences,3.0,3.0,0,0,0,0,,0,0,0,,1635000.0,,,1055.0,99 Years,1259,66.0,27.0,19.0,condo,-3
5015,01 Sep 2019,,,D22,,,,,,,,,1,1,17.0,12.666666666666666,4.7,5.3,,2.0,3.0,10,10,2,4,,0,1,1,,420000.0,5.0,2.0,1184.0,,,100.0,55.0,53.0,hdb,
5016,Now,Land Only / For Rebuilding,,D19,North South,,,Others,,No,,,2,1,,,5.1,2.7777777777777777,https://www.99.co/singapore/landed/serangoon-garden-estate-deybsVE8bUasRKmQxti2nmLH,2.0,3.0,10,10,0,1,1.0,0,1,1,,3080000.0,1.0,3.0,2805.0,999 Years,,65.0,39.0,43.0,landed,5
5017,Now,,,D13,,,,,,,,,5,1,13.0,15.0,4.3,,https://www.99.co/singapore/condos-apartments/suites-braddell,368.0,1.0,10,10,2,2,,0,1,0,1.0,553000.0,2.0,2.0,,Freehold,33,59.0,30.0,29.0,condo,4
5018,Now,,,D19,North South,,,,,,,,3,1,17.666666666666668,14.857142857142858,3.7,5.375,,3.0,4.0,10,10,3,8,3.0,1,1,1,,687000.0,4.0,3.0,1582.0,,,45.0,45.0,45.0,hdb,
5019,Now,,,D19,East,,,,,,,,3,1,,12.5,3.7,5.5,,1290.0,3.0,10,10,0,5,1.0,0,1,0,,450000.0,3.0,3.0,,,,48.0,42.0,48.0,hdb,
5020,Now,,,D03,,,,,,,,,12,1,,17.5,3.5,5.1,https://www.99.co/singapore/condos-apartments/queens,3.0,3.0,10,10,1,5,,0,1,0,,1680000.0,1.0,2.0,1194.0,99 Years,722,64.0,25.0,17.0,condo,17
5021,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,,0,0,0,,,,,,,,,,,others,
5022,Now,,,D01,South,36,,,,,,,19,1,11.5,14.25,4.888888888888889,2.9,https://www.99.co/singapore/condos-apartments/v-on-shenton,2.0,3.0,10,10,5,5,,1,1,1,,3352000.0,,,1518.0,99 Years,510,54.0,24.0,12.0,condo,2
5023,,,,D25,,,,,,,,,0,1,9.5,11.666666666666666,3.1,3.4,https://www.99.co/singapore/hdb/886d-woodlands-drive-50-ad9znE4FkdsWwSpmuaHq8GXE,721.0,2.0,10,10,2,8,,0,1,1,,340000.0,6.0,3.0,,99 Years,,64.0,45.0,53.0,hdb,6
5024,,,,D19,,,Unfurnished,,,,,,2,1,15.0,17.666666666666668,4.7,,https://www.99.co/singapore/hdb/470a-upper-serangoon-crescent-adq5rB2smHjhgVej95mbAiFj,2.0,3.0,10,10,2,4,1.0,1,1,0,,520000.0,3.0,3.0,990.0,99 Years,,51.0,45.0,44.0,hdb,
5025,Now,,,D09,South West,,,,,,,,8,1,13.5,14.6,7.285714285714286,6.7,https://www.99.co/singapore/condos-apartments/the-peak-cairnhill-ii,2.0,2.0,10,10,3,6,1.0,0,1,1,,2500000.0,,,969.0,Freehold,62,58.0,14.0,20.0,condo,4
5026,Now,,,D19,North,,,,,,,,2,1,,11.75,3.5,6.375,,2.0,3.0,10,10,0,5,1.0,0,1,0,,430000.0,4.0,3.0,990.0,,,47.0,40.0,45.0,hdb,
5027,Now,,,D19,North South,,,,,,,,15,1,10.166666666666666,12.333333333333334,3.7,5.1,https://www.99.co/singapore/condos-apartments/la-fiesta,4.0,5.0,10,10,7,5,2.0,0,1,1,,1980000.0,6.0,2.0,1420.0,99 Years,810,41.0,36.0,35.0,condo,2
5028,Now,Brand New,,D14,,,,3 Storey Mixed Landed,,,,,4,1,11.0,11.0,6.0,5.75,https://www.99.co/singapore/landed/kembangan-estate-dewm386iAUoCKjE6JQG3s7kj,5.0,4.0,10,10,2,2,1.0,0,1,0,,5580000.0,2.0,1.0,2500.0,Freehold,,39.0,35.0,27.0,landed,
5029,Now,,,D16,,,Partially Furnished,,,,,,16,1,,17.0,5.0,6.6,https://www.99.co/singapore/condos-apartments/eco,1.0,1.0,10,10,1,3,2.0,0,1,1,,858000.0,2.0,3.0,581.0,99 Years,748,33.0,38.0,30.0,condo,2
5031,Now,,,D01,South East,,,,,,S$3800,05 Oct 2020,23,1,10.333333333333334,11.333333333333334,4.5,1.8,https://www.99.co/singapore/condos-apartments/the-sail-marina-bay,1.0,1.0,10,10,6,3,,1,1,1,,1500000.0,,,623.0,99 Years,1111,51.0,17.0,5.0,condo,11
5032,Now,,,D10,North South,,,,,,S$0,,17,1,12.0,13.0,5.6,3.6,https://www.99.co/singapore/condos-apartments/orion,3.0,3.0,10,10,1,6,1.0,0,1,1,,3300000.0,,,1506.0,Freehold,46,53.0,10.0,23.0,condo,11
5033,Now,Brand New,,D28,North South,,,3 Storey Mixed Landed,,No,,,12,1,,15.0,5.571428571428571,6.0,https://www.99.co/singapore/landed/nim-collection-depUiV7AcNrBFsNZKqHeZzq4,5.0,5.0,10,3,0,1,,0,1,0,,2768000.0,1.0,,1616.0,99 Years,98,55.0,38.0,43.0,landed,-2
5034,03 Nov 2019,,,D20,,,,,,,,,3,1,,18.0,5.2,8.666666666666666,https://www.99.co/singapore/hdb/405-sin-ming-avenue-adwQHksrrpWv8EtJnNphZJmk,2.0,3.0,10,10,0,3,1.0,1,1,0,,650000.0,1.0,4.0,1291.0,99 Years,,76.0,34.0,41.0,hdb,33
5035,Now,,,D28,,,,,,,,,3,1,10.0,13.0,4.9,4.3,https://www.99.co/singapore/hdb/440c-fernvale-link-adckyWjcRw4GDWzLYyK3UB7C,2.0,3.0,10,10,5,2,,0,1,0,,430000.0,2.0,1.0,990.0,99 Years,382,51.0,42.0,41.0,hdb,
5036,Now,,,D18,North,,,,,,,,22,1,,13.5,5.777777777777778,7.0,https://www.99.co/singapore/condos-apartments/the-tapestry,2.0,3.0,10,10,0,2,1.0,0,1,0,,1135000.0,,3.0,990.0,99 Years,861,40.0,51.0,47.0,condo,-2
5037,,,,D14,,,,2 Storey Mixed Landed,,,,,7,1,11.0,11.0,6.0,5.75,https://www.99.co/singapore/landed/kembangan-estate-dewm386iAUoCKjE6JQG3s7kj,5.0,5.0,10,10,2,2,1.0,0,1,0,,5580000.0,2.0,1.0,2500.0,Freehold,,39.0,35.0,27.0,landed,
5038,Now,,,D20,,,,,,,,,15,0,,,,,https://www.99.co/singapore/condos-apartments/jadescape,1.0,1.0,0,0,0,0,,0,0,0,,800000.0,,,527.0,99 Years,1206,62.0,28.0,33.0,condo,-4
5039,Now,,,D09,,,,,,,,,5,1,14.666666666666666,16.0,3.6,2.875,https://www.99.co/singapore/condos-apartments/rv-point-rv-point,1.0,1.0,10,10,3,6,1.0,1,1,1,,850000.0,1.0,1.0,355.0,999 Years,36,60.0,20.0,22.0,condo,5
5040,Now,,,D11,South,,,,,,,,9,1,17.0,14.666666666666666,4.7,4.571428571428571,,2.0,2.0,10,10,2,7,3.0,0,1,1,,598000.0,1.0,1.0,904.0,,,62.0,17.0,28.0,hdb,
5041,Now,,,D27,,,,,,,,,14,1,16.0,16.0,4.125,6.0,https://www.99.co/singapore/condos-apartments/the-nautical,4.0,4.0,10,10,1,3,,0,1,1,,1560000.0,1.0,2.0,1560.0,99 Years,435,53.0,46.0,51.0,condo,3
5042,Now,,,D19,,,,,,,,19 Jun 2019,18,1,12.0,15.5,7.0,8.333333333333334,https://www.99.co/singapore/condos-apartments/palm-grove-condominium,2.0,3.0,10,10,1,2,,0,1,1,,2100000.0,1.0,1.0,1927.0,999 Years,111,61.0,44.0,43.0,condo,17
5043,Now,,,D15,,02,,,,,,,11,0,,,,,https://www.99.co/singapore/condos-apartments/amber-park,2.0,2.0,0,0,0,0,,0,0,0,,1624000.0,,,700.0,Freehold,592,35.0,35.0,29.0,condo,-4
5044,01 Aug 2023,,,D15,South East,,,,,,,,13,0,,,,,https://www.99.co/singapore/condos-apartments/amber-park,2.0,2.0,0,0,0,0,,0,0,0,,1650000.0,,,678.0,Freehold,592,35.0,35.0,29.0,condo,-4
5045,Now,,,D14,North South,,,,,,,,1,1,26.0,18.0,5.555555555555555,5.4,https://www.99.co/singapore/hdb/352-ubi-avenue-1-adfT37WxGqMuRBhHhbzGcNzN,2.0,3.0,10,10,1,3,1.0,0,1,0,,450000.0,1.0,1.0,104.0,99 Years,,60.0,44.0,40.0,hdb,33
5046,Now,,,D15,,,,,,,,,16,1,,14.333333333333334,4.5,4.0,https://www.99.co/singapore/condos-apartments/mandarin-gardens,732.0,1.0,10,10,0,4,2.0,1,1,1,1.0,900000.0,1.0,,,99 Years,1000,29.0,40.0,37.0,condo,33
