,name,geometry,area
de2gsyvVbg8UPvGUNnXEWhgR,st-thomas-suites,"POLYGON ((28336.98000003475 31183.57100000011, 28383.80110003439 31165.17039999889, 28390.1530000338 31162.67400000025, 28390.17720003388 31162.66159999895, 28389.07500003421 31153.42500000044, 28389.14090003306 31152.51009999926, 28389.35740003339 31149.50579999913, 28389.72460003498 31145.60539999944, 28390.17380003397 31141.70499999974, 28390.69530003355 31137.81440000015, 28391.2851000327 31133.93549999934, 28391.94530003332 31130.0760999989, 28392.67390003445 31126.2246, 28393.48430003492 31122.38469999994, 28394.18220003379 31119.4800000001, 28394.40030003357 31118.57219999996, 28395.2160000346 31115.11460000055, 28395.30070003359 31114.75579999914, 28394.95710003395 31114.40300000049, 28391.00580003381 31110.34559999928, 28335.158200035 31123.98430000025, 28331.36520003411 31124.96089999903, 28327.5839000345 31126.00190000015, 28323.83390003377 31127.11130000061, 28320.10540003409 31128.30069999922, 28316.39450003502 31129.56049999932, 28312.71480003311 31130.89059999924, 28309.05460003249 31132.29099999893, 28305.4355000357 31133.77140000055, 28303.73850003366 31134.5015999988, 28301.83590003426 31135.32029999944, 28298.26750003345 31136.9316000004, 28294.73620003476 31138.62299999932, 28291.23630003352 31140.37289999948, 28287.77730003383 31142.19329999912, 28284.34760003459 31144.09369999882, 28280.95700003429 31146.04289999938, 28277.60150003339 31148.06049999935, 28256.197200034 31161.26559999925, 28253.62690003348 31162.85150000045, 28251.61710003433 31164.09369999881, 28251.10930003402 31164.39450000008, 28250.57810003303 31164.6756999992, 28250.03900003386 31164.91400000047, 28249.47850003458 31165.13469999995, 28248.91790003344 31165.33589999902, 28248.34960003383 31165.49410000038, 28247.76940003212 31165.63469999994, 28247.17780003334 31165.73430000024, 28246.58780003447 31165.81440000014, 28245.99800003316 31165.86519999956, 28245.39830003371 31165.88469999992, 28244.7988000342 31165.87499999963, 28244.20890003431 31165.83589999907, 28243.61910003557 31165.76569999906, 28243.02920003385 31165.66389999875, 28242.44920003356 31165.53509999968, 28241.86910003391 31165.37499999966, 28241.30850003457 31165.19529999948, 28240.74800003425 31164.98430000021, 28240.20880003469 31164.74410000037, 28239.66790003394 31164.47459999994, 28239.15820003411 31164.18549999932, 28238.64840003396 31163.86519999954, 28238.16790003318 31163.51559999922, 28237.9686000341 31163.36189999956, 28237.80600003333 31163.84789999916, 28237.32300003375 31168.47699999963, 28238.09300003424 31172.09699999884, 28245.61000003489 31194.2090000004, 28246.3190000338 31197.09629999995, 28249.62500003591 31210.56100000035, 28251.66090003424 31215.06299999882, 28284.88900003509 31262.01400000009, 28350.25200003379 31234.52299999971, 28336.61700003334 31205.5969999988, 28328.57520003452 31193.17940000038, 28327.14000003311 31190.9629999992, 28336.98000003475 31183.57100000011))",12545.359101220192
deiEx9jwQdnzXNF2S23Ryq53,the-peak-cairnhill-ii,"POLYGON ((28496.76550003361 32250.50689999913, 28486.670000034 32247.46499999951, 28490.73740003287 32266.22629999893, 28492.32510003355 32273.54949999941, 28493.28700003309 32277.98599999926, 28513.27300003343 32284.00699999893, 28521.62300003455 32286.52199999953, 28529.93500003311 32289.02600000018, 28534.21900003406 32290.31499999909, 28541.13610003416 32290.50099999984, 28537.4294000323 32273.34449999933, 28536.45060003396 32268.81379999931, 28534.50100003406 32259.78999999876, 28526.89100003331 32259.58510000037, 28523.35500003575 32258.51999999922, 28514.95400003387 32255.98799999959, 28506.60600003319 32253.47199999876, 28496.76550003361 32250.50689999913))",1379.250604237843
dewMeScF8PUqH2BXXuUAcu64,residences-killiney,"POLYGON ((28576.67350003315 31013.21749999897, 28569.26300003384 30997.8489999991, 28564.87250003424 30989.02669999901, 28559.7436000336 30978.72079999893, 28553.04700003465 30965.26500000027, 28537.93300003475 30975.07399999876, 28535.12000003392 30977.39619999904, 28531.51020003407 30980.37619999951, 28524.86000003479 30985.86600000006, 28500.20500003386 31006.22199999878, 28496.01600003319 31009.6809999995, 28496.57500003474 31010.37910000014, 28498.25700003374 31008.97100000048, 28502.94800003374 31014.57999999974, 28501.09100003374 31016.01849999993, 28509.59480003363 31026.63759999874, 28525.87890003319 31046.9724999998, 28534.69970003401 31048.43359999883, 28580.13000003561 31020.38589999975, 28576.67350003315 31013.21749999897))",3783.833317586171
dewopPdNuKkEYh4DwuDkNXFS,the-suites-central,"POLYGON ((28421.31100003315 31248.72899999996, 28423.39030003399 31241.42789999923, 28427.9590000333 31225.3859999996, 28428.12100003366 31224.86199999938, 28474.79600003352 31239.07349999958, 28481.058500034 31218.01359999892, 28482.40230003362 31213.42950000021, 28435.23200003416 31201.8019999989, 28433.53100003443 31201.50199999999, 28422.70400003401 31209.30399999918, 28418.16800003368 31196.65599999915, 28410.24010003398 31179.78800000024, 28403.32490003634 31164.0026999988, 28401.98760003428 31160.94969999943, 28400.44610003477 31157.43109999938, 28390.18000003436 31162.68500000016, 28390.17720003388 31162.66159999895, 28390.1530000338 31162.67400000025, 28383.80110003439 31165.17039999889, 28336.98000003475 31183.57100000011, 28327.14000003311 31190.9629999992, 28328.57520003452 31193.17940000038, 28336.61700003334 31205.5969999988, 28350.25200003379 31234.52299999971, 28352.93800003354 31236.49400000056, 28357.98300003424 31237.39299999891, 28365.67000003438 31241.17400000024, 28369.66800003545 31243.98399999887, 28375.6870000331 31245.42400000025, 28380.78800003353 31242.1699999996, 28380.9512000339 31242.22499999927, 28409.49800003316 31251.83599999885, 28411.35100003463 31245.6149999999, 28421.31100003315 31248.72899999996))",7287.894391196524
deqcgHYSkWAMfVf56cuhriM6,hilltops,"POLYGON ((28504.94900003406 32201.72299999895, 28531.54000003383 32209.71599999965, 28528.91300003365 32221.90899999959, 28532.0713750336 32248.64477499916, 28532.0909250338 32248.77710000017, 28545.48900003392 32249.13399999927, 28592.43700003323 32250.38399999927, 28599.23700003346 32246.51299999995, 28611.95390003379 32223.72100000046, 28615.51800003366 32217.3330000002, 28624.10900003393 32208.41599999892, 28640.61000003222 32191.29099999891, 28642.45300003319 32183.62199999914, 28640.24200003325 32176.33699999899, 28637.69800003322 32167.95700000009, 28637.42110003329 32167.04460000025, 28635.15400003341 32159.5759999991, 28631.67600003376 32148.11700000023, 28628.43390003321 32137.43799999886, 28622.6090000337 32133.93600000034, 28618.07700003393 32134.76099999963, 28607.45400003367 32136.67099999973, 28599.83100003375 32138.04099999891, 28592.21110003526 32139.41099999996, 28581.59240003588 32141.31959999878, 28580.22700003331 32141.5649999991, 28580.06010003426 32141.62499999966, 28567.97400003378 32145.93189999986, 28560.4170000357 32148.62599999979, 28552.84100003422 32151.32599999908, 28530.16500003457 32159.4069999993, 28510.53490003243 32176.38399999929, 28510.37700003492 32176.52099999938, 28508.81200003399 32183.78599999999, 28507.20400003361 32191.25390000047, 28504.94900003406 32201.72299999895))",10886.920162910492
dePDBtoaac8bwC8jZ2nvXvxe,newton-edge,"POLYGON ((29016.61860003419 32772.44089999948, 29016.1910000355 32766.7800999988, 28999.96710003467 32768.00969999995, 28990.2733000337 32768.74379999901, 28990.27375003538 32768.749849999, 28990.25800003445 32768.75099999983, 28987.95600003316 32768.70399999955, 28985.53200003302 32736.57200000029, 28983.26255003476 32736.74422499876, 28983.25940003454 32736.70260000007, 28961.67610003411 32738.3462000001, 28962.30490003406 32753.83049999886, 28962.93560003479 32769.38289999927, 28963.56840003376 32784.92779999935, 28964.16380003452 32800.38660000043, 28964.38450003179 32805.02779999902, 28965.13380003408 32823.44939999993, 28971.78790003376 32830.46079999919, 28987.24310003403 32832.23960000056, 28988.52050003377 32826.40659999995, 28992.42140003473 32808.46330000051, 28993.05820003434 32805.53719999979, 28994.63460003502 32798.27470000053, 28999.96700003447 32792.41889999957, 29004.19380003362 32787.78179999962, 29007.48510003398 32784.17219999956, 29012.39370003333 32778.78920000013, 29012.99530003408 32778.12109999885, 29016.61860003419 32772.44089999948))",2933.080273170286
deWdTHuySfukZEc6XSqXGdYN,cavenagh-gardens,"POLYGON ((28781.75000003387 32010.67999999939, 28792.1520000335 32009.8120000005, 28799.27100003371 32009.21800000004, 28820.19800003348 32007.46699999983, 28826.72000003301 31997.66799999925, 28854.87880003363 32001.56459999984, 28868.37400003344 32003.43199999967, 28876.14600003522 32002.78199999932, 28884.93200003213 31953.5160000004, 28889.66600003363 31918.30900000001, 28891.95200003294 31898.82609999888, 28890.85090003374 31868.56100000036, 28887.20100003409 31868.83599999882, 28877.99300003339 31869.52800000052, 28875.44000003456 31882.71599999968, 28859.08700003373 31882.62699999996, 28844.30600003422 31879.84400000018, 28843.32100003431 31883.80499999935, 28826.0840000339 31887.56299999879, 28821.87900003389 31891.3949999992, 28818.75200003477 31904.38089999896, 28818.2090000332 31906.63099999875, 28794.69600003401 31903.59099999968, 28779.58600003392 31956.67199999992, 28774.43200003198 31970.60700000043, 28774.27300003279 31980.17799999904, 28776.72100003402 31999.50699999893, 28778.20000003354 31999.39299999891, 28779.69400003402 32010.8519999996, 28781.75000003387 32010.67999999939))",11915.066254810605
dewpDCetXBoUwUbSQSLjSyAX,waterford-residence,"POLYGON ((28745.59800003438 30731.22299999899, 28727.53600003302 30706.06299999879, 28725.29290003312 30703.45910000022, 28701.08500003403 30675.35789999889, 28698.41700003425 30672.26070000012, 28698.38100003354 30672.21900000019, 28695.80900003367 30669.24200000022, 28688.5787000343 30667.94999999892, 28681.23240003366 30667.11910000036, 28676.18350003425 30668.95309999922, 28642.58590003446 30704.40029999951, 28642.32930003491 30704.66789999941, 28663.31650003346 30718.81770000015, 28670.43500003399 30723.61700000021, 28694.69400003462 30748.71499999949, 28702.14400003596 30745.08400000035, 28711.6600000345 30741.28099999914, 28724.25200003371 30738.16899999943, 28735.22700003352 30736.44409999962, 28740.72900003391 30734.33599999883, 28745.59800003438 30731.22299999899))",4427.694331836784
deN2P2Hb9wJ45LR2iQv6HZNh,martin-place-residences,"POLYGON ((28593.87090003402 30814.14069999904, 28592.33700003465 30795.19800000044, 28591.87700003464 30786.68199999971, 28591.71100003257 30785.67600000055, 28590.67900003289 30774.61700000022, 28590.84500003414 30773.12299999933, 28590.30400003552 30766.0669999995, 28592.27700003435 30748.05199999885, 28594.93090003444 30740.85399999997, 28596.48400003569 30737.13599999963, 28596.80300003384 30735.24699999918, 28596.92040003427 30734.55199999886, 28596.93360003394 30734.52370000035, 28597.00362503344 30734.37360000018, 28597.90230003434 30732.44719999994, 28598.95110003418 30730.44719999994, 28600.05270003339 30728.46869999882, 28601.2226000342 30726.52729999982, 28602.44140003447 30724.62690000017, 28603.77530003386 30722.83979999984, 28605.10540003333 30721.00969999995, 28606.49410003326 30719.22069999912, 28607.9355000334 30717.48039999943, 28609.42380003202 30715.78319999911, 28609.4283000343 30715.44069999982, 28609.54680003408 30706.37499999968, 28609.21480003447 30705.90769999999, 28603.5865250343 30697.98592499981, 28603.55070003344 30697.93549999935, 28603.54250003418 30697.9239000004, 28585.67950003383 30672.88579999988, 28582.27480003346 30674.44389999997, 28573.26100003365 30678.56899999981, 28565.6549000333 30681.21399999935, 28558.66500003374 30683.50099999982, 28549.34110003386 30686.57799999943, 28546.13800003456 30687.91899999941, 28531.01000003413 30694.51400000012, 28526.35800003434 30696.00599999876, 28518.31000003315 30696.63000000045, 28508.64300003295 30696.30299999904, 28494.90300003373 30697.49799999934, 28487.29900003324 30697.68299999984, 28482.45400003335 30697.33899999934, 28490.11800003318 30721.02500000001, 28492.35600003412 30733.78999999876, 28493.21600003344 30743.19899999873, 28495.59100003426 30769.08300000023, 28497.67700003461 30777.68199999971, 28497.56700003449 30779.01600000042, 28499.60000003375 30785.56399999896, 28506.93100003376 30792.39499999918, 28522.28600003371 30805.61399999974, 28531.79400003399 30812.002, 28537.85100003361 30816.90799999948, 28549.77700003344 30826.83999999949, 28565.46100003432 30816.53900000047, 28574.84900003479 30810.52700000035, 28581.64700003412 30821.35199999962, 28587.51670003329 30830.71259999987, 28588.12200003258 30831.67799999901, 28588.12762503429 30831.68875000034, 28590.34235003411 30835.91944999957, 28594.54700003376 30842.08200000007, 28596.60862503437 30838.35794999976, 28596.26700003455 30835.33569999936, 28596.24080003515 30835.10409999976, 28595.4158500349 30827.80677499961, 28595.41480003437 30827.79739999927, 28593.87140003425 30814.14440000021, 28593.87090003402 30814.14069999904))",12952.918332802421
de5qE2Lao8HUgEkMcHHwkmnD,tribeca,"POLYGON ((28176.98460003343 30388.11930000001, 28162.88860003383 30363.78119999883, 28156.63870003423 30352.90589999932, 28145.05660003462 30332.75190000017, 28138.99020003352 30332.69920000028, 28134.29790003311 30340.55980000056, 28134.08680003331 30340.9136999991, 28113.78410003429 30375.04519999928, 28112.35540003416 30377.44710000011, 28111.38990003399 30379.1797999997, 28090.32710003472 30416.97899999998, 28091.29200003437 30417.50699999897, 28141.04500003396 30444.78499999982, 28155.19000003458 30418.22799999979, 28159.31100003339 30410.49200000019, 28169.17820003397 30391.9650999993, 28171.16700003471 30388.2310000003, 28176.98460003343 30388.11930000001))",4922.671050789514
